official_fold,nucleus_class_name,tissue_type,nucleus_count,source_patch_count,grouping_unit,independence_note
2,inflammatory,Ovarian,46,22,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Pancreatic,285,52,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Prostate,8,4,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Skin,1115,56,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Stomach,945,36,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Testis,477,49,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Thyroid,251,48,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Uterus,264,5,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Adrenal_gland,1413,107,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Bile-duct,734,54,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Bladder,561,30,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Breast,6010,451,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Cervix,735,30,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Colon,3151,102,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Esophagus,1564,75,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,HeadNeck,1132,70,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Kidney,1567,39,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Liver,455,32,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Lung,1029,53,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Ovarian,462,24,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Pancreatic,285,26,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Prostate,368,19,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Skin,1381,53,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Stomach,623,31,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Testis,582,44,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Thyroid,477,35,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,neoplastic,Uterus,202,5,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,Adrenal_gland,345,20,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,Bile-duct,100,9,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,Bladder,6,2,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,Breast,4582,193,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,Cervix,60,4,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,Colon,1851,169,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,Esophagus,61,5,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,HeadNeck,55,12,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,Kidney,42,6,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,Liver,373,19,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,Ovarian,115,5,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,Pancreatic,168,13,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,Prostate,111,6,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,Skin,145,6,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,Testis,258,19,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,Thyroid,582,34,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,non_neoplastic_epithelial,Uterus,16,2,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Adrenal_gland,382,108,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Bile-duct,1205,139,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Bladder,546,46,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Breast,3658,653,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Cervix,369,40,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Colon,3807,368,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Esophagus,857,104,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,HeadNeck,910,102,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Kidney,345,29,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Liver,769,80,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Lung,422,44,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Ovarian,467,34,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Pancreatic,361,27,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Prostate,374,58,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Skin,145,25,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Stomach,389,47,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Testis,351,44,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Thyroid,336,54,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,connective_soft_tissue,Uterus,1748,109,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,dead,Adrenal_gland,5,1,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,dead,Breast,1,1,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,dead,Cervix,7,3,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,dead,Colon,230,15,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,dead,Esophagus,68,6,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,dead,HeadNeck,39,7,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,dead,Liver,1,1,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,dead,Lung,462,15,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,dead,Stomach,64,13,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,dead,Thyroid,1,1,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,dead,Uterus,179,34,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,Adrenal_gland,124,56,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,Bile-duct,867,87,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,Bladder,69,19,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,Breast,1854,429,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,Cervix,434,53,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,Colon,3166,283,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,Esophagus,138,44,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,HeadNeck,1081,65,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,Kidney,199,19,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,Liver,187,53,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,Lung,94,25,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,Ovarian,65,24,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,Pancreatic,112,24,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,Prostate,23,14,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,Skin,709,26,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,Stomach,729,30,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
3,inflammatory,Testis,340,41,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
