patch_key,fold_id,patch_index,class_index,class_name,channel_index,instance_id,total_pixel_count,overlap_pixel_count,positive_background_pixel_count,overlapping_class_indices,overlapping_instance_ids,overlapping_instance_ids_by_class,touches_cross_class_overlap,analysis_eligible,primary_eligible,confirmatory_eligible,analysis_exclusion_reason
fold_1:patch_386,1,386,1,inflammatory,1,412,229,4,0,[2],[424],"{""connective_soft_tissue"": [424]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_386,1,386,2,connective_soft_tissue,2,292,399,13,0,[1],[298],"{""inflammatory"": [298]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_386,1,386,2,connective_soft_tissue,2,424,320,4,0,[1],[412],"{""inflammatory"": [412]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_467,1,467,0,neoplastic,0,110,659,4,0,[1],[112],"{""inflammatory"": [112]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_467,1,467,1,inflammatory,1,112,566,4,0,[0],[110],"{""neoplastic"": [110]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_527,1,527,0,neoplastic,0,198,1374,6,0,[2],[200],"{""connective_soft_tissue"": [200]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_527,1,527,0,neoplastic,0,206,1024,3,0,[2],[200],"{""connective_soft_tissue"": [200]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_527,1,527,2,connective_soft_tissue,2,200,666,9,0,[0],"[198, 206]","{""neoplastic"": [198, 206]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_528,1,528,0,neoplastic,0,193,594,10,0,[1],[384],"{""inflammatory"": [384]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_528,1,528,0,neoplastic,0,201,503,12,0,[1],[384],"{""inflammatory"": [384]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_528,1,528,1,inflammatory,1,384,427,22,0,[0],"[193, 201]","{""neoplastic"": [193, 201]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_533,1,533,0,neoplastic,0,40,449,11,0,[2],[46],"{""connective_soft_tissue"": [46]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_533,1,533,2,connective_soft_tissue,2,46,829,11,0,[0],[40],"{""neoplastic"": [40]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_534,1,534,0,neoplastic,0,32,757,14,0,[2],[421],"{""connective_soft_tissue"": [421]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_534,1,534,2,connective_soft_tissue,2,421,628,14,0,[0],[32],"{""neoplastic"": [32]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_550,1,550,0,neoplastic,0,17,1026,1,0,[1],[351],"{""inflammatory"": [351]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_550,1,550,1,inflammatory,1,351,195,1,0,[0],[17],"{""neoplastic"": [17]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_556,1,556,0,neoplastic,0,47,855,2,0,[2],[66],"{""connective_soft_tissue"": [66]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_556,1,556,0,neoplastic,0,91,635,10,0,[1],[92],"{""inflammatory"": [92]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_556,1,556,1,inflammatory,1,92,462,10,0,[0],[91],"{""neoplastic"": [91]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_556,1,556,2,connective_soft_tissue,2,66,569,2,0,[0],[47],"{""neoplastic"": [47]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_578,1,578,0,neoplastic,0,157,613,1,0,[2],[150],"{""connective_soft_tissue"": [150]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_578,1,578,2,connective_soft_tissue,2,150,352,1,0,[0],[157],"{""neoplastic"": [157]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_623,1,623,1,inflammatory,1,292,195,9,0,[4],[295],"{""non_neoplastic_epithelial"": [295]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_623,1,623,4,non_neoplastic_epithelial,4,295,235,9,0,[1],[292],"{""inflammatory"": [292]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_652,1,652,0,neoplastic,0,166,496,9,0,[2],[167],"{""connective_soft_tissue"": [167]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_652,1,652,2,connective_soft_tissue,2,167,872,9,0,[0],[166],"{""neoplastic"": [166]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_663,1,663,1,inflammatory,1,62,352,1,0,[2],[68],"{""connective_soft_tissue"": [68]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_663,1,663,2,connective_soft_tissue,2,68,581,1,0,[1],[62],"{""inflammatory"": [62]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_686,1,686,0,neoplastic,0,77,1967,1,0,[1],[73],"{""inflammatory"": [73]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_686,1,686,1,inflammatory,1,12,418,5,0,[2],[14],"{""connective_soft_tissue"": [14]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_686,1,686,1,inflammatory,1,73,256,1,0,[0],[77],"{""neoplastic"": [77]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_686,1,686,2,connective_soft_tissue,2,14,703,5,0,[1],[12],"{""inflammatory"": [12]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_738,1,738,1,inflammatory,1,11,215,2,0,[2],[12],"{""connective_soft_tissue"": [12]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_738,1,738,2,connective_soft_tissue,2,12,408,2,0,[1],[11],"{""inflammatory"": [11]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_741,1,741,0,neoplastic,0,260,155,4,0,[2],[253],"{""connective_soft_tissue"": [253]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_741,1,741,2,connective_soft_tissue,2,253,190,4,0,[0],[260],"{""neoplastic"": [260]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_743,1,743,0,neoplastic,0,337,450,3,0,[2],[340],"{""connective_soft_tissue"": [340]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_743,1,743,2,connective_soft_tissue,2,340,539,3,0,[0],[337],"{""neoplastic"": [337]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_744,1,744,1,inflammatory,1,274,244,2,0,[2],[266],"{""connective_soft_tissue"": [266]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_744,1,744,2,connective_soft_tissue,2,266,279,2,0,[1],[274],"{""inflammatory"": [274]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_751,1,751,1,inflammatory,1,60,313,1,0,[2],[50],"{""connective_soft_tissue"": [50]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_751,1,751,2,connective_soft_tissue,2,50,447,1,0,[1],[60],"{""inflammatory"": [60]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_754,1,754,0,neoplastic,0,46,749,6,0,[2],[45],"{""connective_soft_tissue"": [45]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_754,1,754,2,connective_soft_tissue,2,45,333,6,0,[0],[46],"{""neoplastic"": [46]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_766,1,766,0,neoplastic,0,166,353,1,0,[1],[158],"{""inflammatory"": [158]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_766,1,766,1,inflammatory,1,158,533,1,0,[0],[166],"{""neoplastic"": [166]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_769,1,769,0,neoplastic,0,265,245,2,0,[1],[271],"{""inflammatory"": [271]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_769,1,769,1,inflammatory,1,271,210,2,0,[0],[265],"{""neoplastic"": [265]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_786,1,786,0,neoplastic,0,179,287,10,0,[2],[188],"{""connective_soft_tissue"": [188]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_786,1,786,0,neoplastic,0,222,290,1,0,[1],[209],"{""inflammatory"": [209]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_786,1,786,1,inflammatory,1,209,511,1,0,[0],[222],"{""neoplastic"": [222]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_786,1,786,2,connective_soft_tissue,2,188,163,10,0,[0],[179],"{""neoplastic"": [179]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_818,1,818,1,inflammatory,1,1385,238,18,0,[2],[1041],"{""connective_soft_tissue"": [1041]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_818,1,818,2,connective_soft_tissue,2,1041,173,18,0,[1],[1385],"{""inflammatory"": [1385]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_826,1,826,1,inflammatory,1,436,356,4,0,[2],[407],"{""connective_soft_tissue"": [407]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_826,1,826,2,connective_soft_tissue,2,407,296,4,0,[1],[436],"{""inflammatory"": [436]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_827,1,827,1,inflammatory,1,821,380,2,0,[2],[825],"{""connective_soft_tissue"": [825]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_827,1,827,1,inflammatory,1,881,211,1,0,[2],[900],"{""connective_soft_tissue"": [900]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_827,1,827,2,connective_soft_tissue,2,825,401,2,0,[1],[821],"{""inflammatory"": [821]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_827,1,827,2,connective_soft_tissue,2,900,529,1,0,[1],[881],"{""inflammatory"": [881]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_842,1,842,1,inflammatory,1,47,655,2,0,[2],[40],"{""connective_soft_tissue"": [40]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_842,1,842,2,connective_soft_tissue,2,40,556,2,0,[1],[47],"{""inflammatory"": [47]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_845,1,845,1,inflammatory,1,388,227,1,0,[2],[370],"{""connective_soft_tissue"": [370]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_845,1,845,1,inflammatory,1,456,385,3,0,[2],[443],"{""connective_soft_tissue"": [443]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_845,1,845,1,inflammatory,1,477,245,3,0,[2],[466],"{""connective_soft_tissue"": [466]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_845,1,845,2,connective_soft_tissue,2,370,339,1,0,[1],[388],"{""inflammatory"": [388]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_845,1,845,2,connective_soft_tissue,2,443,443,3,0,[1],[456],"{""inflammatory"": [456]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_845,1,845,2,connective_soft_tissue,2,466,265,3,0,[1],[477],"{""inflammatory"": [477]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_866,1,866,1,inflammatory,1,175,268,1,0,[2],[182],"{""connective_soft_tissue"": [182]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_866,1,866,2,connective_soft_tissue,2,182,571,1,0,[1],[175],"{""inflammatory"": [175]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_879,1,879,0,neoplastic,0,24,787,3,0,[2],[27],"{""connective_soft_tissue"": [27]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_879,1,879,2,connective_soft_tissue,2,27,552,3,0,[0],[24],"{""neoplastic"": [24]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_883,1,883,0,neoplastic,0,284,531,2,0,[2],[275],"{""connective_soft_tissue"": [275]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_883,1,883,2,connective_soft_tissue,2,275,594,2,0,[0],[284],"{""neoplastic"": [284]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_890,1,890,0,neoplastic,0,103,770,4,0,[2],[120],"{""connective_soft_tissue"": [120]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_890,1,890,2,connective_soft_tissue,2,120,424,4,0,[0],[103],"{""neoplastic"": [103]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_893,1,893,0,neoplastic,0,22,1131,5,0,[2],[43],"{""connective_soft_tissue"": [43]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_893,1,893,2,connective_soft_tissue,2,43,466,5,0,[0],[22],"{""neoplastic"": [22]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_906,1,906,0,neoplastic,0,304,1168,8,0,[2],[292],"{""connective_soft_tissue"": [292]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_906,1,906,2,connective_soft_tissue,2,292,328,8,0,[0],[304],"{""neoplastic"": [304]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_910,1,910,0,neoplastic,0,161,669,3,0,[2],[174],"{""connective_soft_tissue"": [174]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_910,1,910,2,connective_soft_tissue,2,174,839,3,0,[0],[161],"{""neoplastic"": [161]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_934,1,934,0,neoplastic,0,123,538,4,0,[2],[119],"{""connective_soft_tissue"": [119]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_934,1,934,2,connective_soft_tissue,2,119,388,4,0,[0],[123],"{""neoplastic"": [123]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_944,1,944,0,neoplastic,0,17,699,4,0,[1],[10],"{""inflammatory"": [10]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_944,1,944,1,inflammatory,1,10,388,4,0,[0],[17],"{""neoplastic"": [17]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_966,1,966,1,inflammatory,1,260,37,1,0,[2],[236],"{""connective_soft_tissue"": [236]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_966,1,966,2,connective_soft_tissue,2,236,799,1,0,[1],[260],"{""inflammatory"": [260]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_985,1,985,0,neoplastic,0,1002,253,2,0,[1],[1023],"{""inflammatory"": [1023]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_985,1,985,1,inflammatory,1,1023,221,2,0,[0],[1002],"{""neoplastic"": [1002]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1018,1,1018,1,inflammatory,1,46,413,5,0,[2],[50],"{""connective_soft_tissue"": [50]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1018,1,1018,2,connective_soft_tissue,2,50,478,5,0,[1],[46],"{""inflammatory"": [46]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1027,1,1027,0,neoplastic,0,855,57,1,0,[3],[863],"{""dead"": [863]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1027,1,1027,3,dead,3,863,92,1,0,[0],[855],"{""neoplastic"": [855]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1030,1,1030,0,neoplastic,0,1216,201,6,0,[3],[1218],"{""dead"": [1218]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1030,1,1030,3,dead,3,1218,98,6,0,[0],[1216],"{""neoplastic"": [1216]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1031,1,1031,0,neoplastic,0,1292,320,7,0,[3],"[1318, 1330]","{""dead"": [1318, 1330]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1031,1,1031,3,dead,3,1318,235,4,0,[0],[1292],"{""neoplastic"": [1292]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1031,1,1031,3,dead,3,1330,85,3,0,[0],[1292],"{""neoplastic"": [1292]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1035,1,1035,2,connective_soft_tissue,2,2382,151,1,0,[3],[2371],"{""dead"": [2371]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1035,1,1035,3,dead,3,2371,217,1,0,[2],[2382],"{""connective_soft_tissue"": [2382]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1061,1,1061,1,inflammatory,1,925,63,2,0,[2],[911],"{""connective_soft_tissue"": [911]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1061,1,1061,1,inflammatory,1,1140,46,1,0,[2],[1168],"{""connective_soft_tissue"": [1168]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1061,1,1061,2,connective_soft_tissue,2,911,35,2,0,[1],[925],"{""inflammatory"": [925]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1061,1,1061,2,connective_soft_tissue,2,1168,74,1,0,[1],[1140],"{""inflammatory"": [1140]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1062,1,1062,1,inflammatory,1,897,65,4,0,[2],[856],"{""connective_soft_tissue"": [856]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1062,1,1062,1,inflammatory,1,903,57,4,0,[2],[850],"{""connective_soft_tissue"": [850]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1062,1,1062,1,inflammatory,1,936,176,1,0,[2],[913],"{""connective_soft_tissue"": [913]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1062,1,1062,2,connective_soft_tissue,2,850,110,4,0,[1],[903],"{""inflammatory"": [903]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1062,1,1062,2,connective_soft_tissue,2,856,87,4,0,[1],[897],"{""inflammatory"": [897]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1062,1,1062,2,connective_soft_tissue,2,913,68,1,0,[1],[936],"{""inflammatory"": [936]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1063,1,1063,1,inflammatory,1,717,92,3,0,[2],[705],"{""connective_soft_tissue"": [705]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1063,1,1063,2,connective_soft_tissue,2,705,165,3,0,[1],[717],"{""inflammatory"": [717]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1070,1,1070,1,inflammatory,1,900,57,1,0,[2],[901],"{""connective_soft_tissue"": [901]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1070,1,1070,2,connective_soft_tissue,2,901,223,1,0,[1],[900],"{""inflammatory"": [900]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1073,1,1073,1,inflammatory,1,328,441,2,0,[2],[316],"{""connective_soft_tissue"": [316]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1073,1,1073,2,connective_soft_tissue,2,316,801,2,0,[1],[328],"{""inflammatory"": [328]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1096,1,1096,2,connective_soft_tissue,2,36,371,12,0,[4],[40],"{""non_neoplastic_epithelial"": [40]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1096,1,1096,4,non_neoplastic_epithelial,4,40,525,12,0,[2],[36],"{""connective_soft_tissue"": [36]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1133,1,1133,0,neoplastic,0,64,705,8,0,[2],[72],"{""connective_soft_tissue"": [72]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1133,1,1133,2,connective_soft_tissue,2,72,704,8,0,[0],[64],"{""neoplastic"": [64]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1144,1,1144,0,neoplastic,0,1023,95,6,0,[2],[1047],"{""connective_soft_tissue"": [1047]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1144,1,1144,2,connective_soft_tissue,2,1047,152,6,0,[0],[1023],"{""neoplastic"": [1023]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1146,1,1146,0,neoplastic,0,1395,794,9,0,[2],[1420],"{""connective_soft_tissue"": [1420]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1146,1,1146,2,connective_soft_tissue,2,1420,464,9,0,[0],[1395],"{""neoplastic"": [1395]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1174,1,1174,0,neoplastic,0,246,525,7,0,[1],[244],"{""inflammatory"": [244]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1174,1,1174,1,inflammatory,1,244,434,7,0,[0],[246],"{""neoplastic"": [246]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1177,1,1177,0,neoplastic,0,261,553,2,0,[2],[284],"{""connective_soft_tissue"": [284]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1177,1,1177,2,connective_soft_tissue,2,284,166,2,0,[0],[261],"{""neoplastic"": [261]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1180,1,1180,1,inflammatory,1,441,476,8,0,[2],[437],"{""connective_soft_tissue"": [437]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1180,1,1180,2,connective_soft_tissue,2,437,630,8,0,[1],[441],"{""inflammatory"": [441]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1181,1,1181,0,neoplastic,0,439,472,3,0,[2],[424],"{""connective_soft_tissue"": [424]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_1181,1,1181,2,connective_soft_tissue,2,424,589,3,0,[0],[439],"{""neoplastic"": [439]}",true,false,false,false,touches_cross_class_overlap
