fold_id,patch_index,class_index,class_name,instance_id,total_instance_pixels,cross_class_overlap_pixels,overlapping_instance_keys
1,1741,0,neoplastic,38,739,13,2:47;2:50
1,1741,0,neoplastic,58,904,10,2:50
1,1741,0,neoplastic,387,1698,9,2:46
1,1741,2,connective_soft_tissue,46,459,9,0:387
1,1741,2,connective_soft_tissue,47,370,2,0:38
1,1741,2,connective_soft_tissue,50,572,21,0:38;0:58
1,1742,0,neoplastic,43,1016,8,1:34
1,1742,0,neoplastic,392,394,6,1:34
1,1742,1,inflammatory,34,548,14,0:43;0:392
1,1745,0,neoplastic,240,1305,11,2:228
1,1745,2,connective_soft_tissue,228,656,11,0:240
1,1746,0,neoplastic,318,763,2,2:316
1,1746,2,connective_soft_tissue,316,487,2,0:318
1,1760,0,neoplastic,330,466,5,1:319
1,1760,1,inflammatory,319,407,5,0:330
1,1764,0,neoplastic,520,629,4,1:538
1,1764,0,neoplastic,521,386,2,1:531
1,1764,1,inflammatory,531,94,2,0:521
1,1764,1,inflammatory,538,281,4,0:520
1,1765,1,inflammatory,430,64,14,2:424
1,1765,2,connective_soft_tissue,424,197,14,1:430
1,1766,1,inflammatory,430,100,5,2:424
1,1766,2,connective_soft_tissue,424,32,5,1:430
1,1789,0,neoplastic,145,204,4,1:141
1,1789,1,inflammatory,141,270,4,0:145
1,1802,0,neoplastic,297,229,8,1:306
1,1802,1,inflammatory,306,201,8,0:297
1,1807,1,inflammatory,328,126,5,2:326
1,1807,2,connective_soft_tissue,326,118,5,1:328
1,1810,0,neoplastic,653,1389,1,1:451
1,1810,1,inflammatory,370,258,9,2:377
1,1810,1,inflammatory,451,314,1,0:653
1,1810,2,connective_soft_tissue,377,364,9,1:370
1,1812,0,neoplastic,585,508,1,1:578
1,1812,1,inflammatory,578,269,1,0:585
1,1813,0,neoplastic,531,312,5,1:522
1,1813,0,neoplastic,615,839,1,1:634
1,1813,1,inflammatory,522,597,5,0:531
1,1813,1,inflammatory,572,267,1,2:562
1,1813,1,inflammatory,634,422,1,0:615
1,1813,2,connective_soft_tissue,562,416,1,1:572
1,1823,1,inflammatory,67,519,16,2:57
1,1823,2,connective_soft_tissue,57,242,16,1:67
1,1824,1,inflammatory,107,379,17,2:102
1,1824,2,connective_soft_tissue,102,893,17,1:107
1,1828,1,inflammatory,107,799,13,2:102
1,1828,2,connective_soft_tissue,102,296,13,1:107
1,1840,2,connective_soft_tissue,666,437,9,4:663
1,1840,4,non_neoplastic_epithelial,663,2942,9,2:666
1,1848,2,connective_soft_tissue,888,791,2,4:906
1,1848,4,non_neoplastic_epithelial,906,1071,2,2:888
1,1852,1,inflammatory,858,153,10,2:52
1,1852,2,connective_soft_tissue,52,507,10,1:858
1,1854,1,inflammatory,106,676,8,4:103
1,1854,4,non_neoplastic_epithelial,103,826,8,1:106
1,1875,2,connective_soft_tissue,139,540,2,4:137
1,1875,4,non_neoplastic_epithelial,137,1992,2,2:139
1,1881,2,connective_soft_tissue,171,765,8,4:163
1,1881,4,non_neoplastic_epithelial,163,1701,8,2:171
1,1882,2,connective_soft_tissue,231,588,4,4:233
1,1882,4,non_neoplastic_epithelial,233,716,4,2:231
1,1944,1,inflammatory,710,413,2,2:701
1,1944,1,inflammatory,722,706,13,2:719
1,1944,2,connective_soft_tissue,701,677,2,1:710
1,1944,2,connective_soft_tissue,719,733,13,1:722
1,1950,1,inflammatory,122,1482,12,2:103;4:111
1,1950,2,connective_soft_tissue,103,1114,6,1:122
1,1950,4,non_neoplastic_epithelial,111,688,6,1:122
1,1958,2,connective_soft_tissue,546,491,20,4:539
1,1958,4,non_neoplastic_epithelial,539,2590,20,2:546
1,1980,1,inflammatory,10,1531,18,4:15
1,1980,4,non_neoplastic_epithelial,15,718,18,1:10
1,1982,0,neoplastic,1114,632,39,4:171
1,1982,4,non_neoplastic_epithelial,171,1683,39,0:1114
1,1984,1,inflammatory,363,802,3,4:350
1,1984,4,non_neoplastic_epithelial,350,151,3,1:363
1,1986,1,inflammatory,477,1155,8,4:482
1,1986,4,non_neoplastic_epithelial,482,684,8,1:477
1,2005,1,inflammatory,236,1826,1,2:238
1,2005,2,connective_soft_tissue,238,833,1,1:236
1,2060,0,neoplastic,168,152,2,2:165;2:170
1,2060,2,connective_soft_tissue,165,420,1,0:168
1,2060,2,connective_soft_tissue,170,544,1,0:168
1,2067,0,neoplastic,455,324,1,1:448
1,2067,1,inflammatory,448,167,1,0:455
1,2070,0,neoplastic,164,808,1,2:177
1,2070,0,neoplastic,174,499,7,2:177
1,2070,0,neoplastic,182,916,1,2:190
1,2070,2,connective_soft_tissue,177,374,8,0:164;0:174
1,2070,2,connective_soft_tissue,190,232,1,0:182
1,2077,0,neoplastic,228,863,8,2:237
1,2077,2,connective_soft_tissue,237,455,8,0:228
1,2084,1,inflammatory,164,354,2,2:168
1,2084,2,connective_soft_tissue,168,146,2,1:164
1,2086,0,neoplastic,68,16,3,2:300
1,2086,2,connective_soft_tissue,300,924,3,0:68
1,2089,0,neoplastic,295,841,17,2:269
1,2089,2,connective_soft_tissue,269,802,17,0:295
1,2118,1,inflammatory,153,188,3,2:151
1,2118,2,connective_soft_tissue,151,519,3,1:153
1,2120,1,inflammatory,362,260,1,2:374
1,2120,2,connective_soft_tissue,374,360,1,1:362
1,2199,0,neoplastic,110,1176,2,2:118
1,2199,2,connective_soft_tissue,118,530,2,0:110
1,2215,2,connective_soft_tissue,49,299,3,4:56
1,2215,4,non_neoplastic_epithelial,56,311,3,2:49
1,2234,0,neoplastic,161,864,6,2:167
1,2234,2,connective_soft_tissue,167,370,6,0:161
1,2250,0,neoplastic,86,246,4,2:80
1,2250,2,connective_soft_tissue,80,401,4,0:86
1,2296,0,neoplastic,190,286,1,2:186
1,2296,0,neoplastic,213,281,3,1:212
1,2296,1,inflammatory,212,357,3,0:213
1,2296,2,connective_soft_tissue,186,683,1,0:190
1,2299,0,neoplastic,396,505,1,1:393
1,2299,1,inflammatory,393,386,1,0:396
1,2321,0,neoplastic,43,488,7,2:39
1,2321,2,connective_soft_tissue,39,408,7,0:43
1,2340,1,inflammatory,477,168,3,2:184
1,2340,2,connective_soft_tissue,184,98,3,1:477
1,2361,2,connective_soft_tissue,143,246,1,4:133
1,2361,4,non_neoplastic_epithelial,133,284,1,2:143
1,2364,2,connective_soft_tissue,356,79,5,4:350
1,2364,4,non_neoplastic_epithelial,350,171,5,2:356
1,2413,0,neoplastic,39,245,5,1:26
1,2413,0,neoplastic,47,226,2,1:26
1,2413,0,neoplastic,76,760,6,1:93
1,2413,1,inflammatory,26,333,7,0:39;0:47
1,2413,1,inflammatory,93,707,6,0:76
1,2414,0,neoplastic,94,403,5,1:107
1,2414,0,neoplastic,145,902,10,1:147
1,2414,1,inflammatory,107,807,5,0:94
1,2414,1,inflammatory,147,896,10,0:145
1,2423,0,neoplastic,295,47,1,2:302
1,2423,2,connective_soft_tissue,302,108,1,0:295
1,2426,0,neoplastic,843,337,1,2:838
1,2426,2,connective_soft_tissue,838,66,1,0:843
1,2434,1,inflammatory,158,721,6,2:151
1,2434,1,inflammatory,272,474,2,2:266
1,2434,2,connective_soft_tissue,151,722,6,1:158
1,2434,2,connective_soft_tissue,266,584,2,1:272
1,2435,1,inflammatory,180,427,4,2:189
1,2435,2,connective_soft_tissue,189,453,4,1:180
1,2437,1,inflammatory,621,82,3,2:594
1,2437,2,connective_soft_tissue,594,431,3,1:621
1,2438,1,inflammatory,409,168,1,2:404
1,2438,2,connective_soft_tissue,404,320,1,1:409
1,2439,1,inflammatory,418,692,5,2:448
1,2439,1,inflammatory,422,748,2,2:434
1,2439,1,inflammatory,653,277,1,2:652
1,2439,2,connective_soft_tissue,434,586,2,1:422
1,2439,2,connective_soft_tissue,448,338,5,1:418
1,2439,2,connective_soft_tissue,652,393,1,1:653
1,2440,1,inflammatory,866,285,7,2:870
1,2440,2,connective_soft_tissue,870,467,7,1:866
1,2478,0,neoplastic,187,197,4,1:184
1,2478,1,inflammatory,184,367,4,0:187
1,2480,0,neoplastic,427,525,8,1:429
1,2480,1,inflammatory,429,230,8,0:427
1,2481,0,neoplastic,526,367,3,1:533
1,2481,1,inflammatory,533,548,3,0:526
1,2484,0,neoplastic,330,212,2,2:334
1,2484,0,neoplastic,361,544,5,1:365
1,2484,1,inflammatory,365,161,5,0:361
1,2484,2,connective_soft_tissue,334,369,2,0:330
1,2485,0,neoplastic,263,314,2,2:283
1,2485,2,connective_soft_tissue,283,176,2,0:263
1,2495,0,neoplastic,232,374,5,2:231
1,2495,2,connective_soft_tissue,231,327,5,0:232
1,2506,0,neoplastic,101,467,1,1:111
1,2506,1,inflammatory,111,431,1,0:101
1,2507,0,neoplastic,132,348,5,3:136
1,2507,3,dead,136,519,5,0:132
1,2511,0,neoplastic,430,400,5,2:409
1,2511,2,connective_soft_tissue,409,458,5,0:430
1,2526,1,inflammatory,75,177,5,2:961
1,2526,1,inflammatory,200,153,1,2:205
1,2526,2,connective_soft_tissue,205,214,1,1:200
1,2526,2,connective_soft_tissue,961,294,5,1:75
1,2528,0,neoplastic,718,500,1,1:720
1,2528,1,inflammatory,657,261,7,2:649
1,2528,1,inflammatory,720,563,1,0:718
1,2528,1,inflammatory,727,212,5,2:719
1,2528,2,connective_soft_tissue,649,359,7,1:657
1,2528,2,connective_soft_tissue,719,430,5,1:727
1,2545,2,connective_soft_tissue,192,336,11,4:185;4:196
1,2545,4,non_neoplastic_epithelial,185,848,2,2:192
1,2545,4,non_neoplastic_epithelial,196,920,9,2:192
1,2553,2,connective_soft_tissue,68,322,2,4:66
1,2553,4,non_neoplastic_epithelial,66,505,2,2:68
1,2558,2,connective_soft_tissue,376,504,4,4:383
1,2558,4,non_neoplastic_epithelial,383,980,4,2:376
1,2561,2,connective_soft_tissue,306,709,1,4:318
1,2561,4,non_neoplastic_epithelial,318,350,1,2:306
1,2584,0,neoplastic,273,319,8,2:260
1,2584,2,connective_soft_tissue,260,425,8,0:273
1,2587,1,inflammatory,152,278,4,2:148
1,2587,2,connective_soft_tissue,148,587,4,1:152
2,96,1,inflammatory,63,393,5,2:59
2,96,2,connective_soft_tissue,59,781,5,1:63
2,113,2,connective_soft_tissue,43,265,5,4:34
2,113,4,non_neoplastic_epithelial,34,758,5,2:43
2,178,1,inflammatory,124,312,1,2:122
2,178,2,connective_soft_tissue,122,465,1,1:124
2,178,2,connective_soft_tissue,123,100,2,4:111
2,178,4,non_neoplastic_epithelial,111,253,2,2:123
2,226,1,inflammatory,50,257,1,4:57
2,226,4,non_neoplastic_epithelial,57,282,1,1:50
2,252,0,neoplastic,217,987,1,2:210
2,252,2,connective_soft_tissue,210,472,1,0:217
2,261,0,neoplastic,175,1865,14,2:187
2,261,0,neoplastic,189,1409,11,2:187
2,261,0,neoplastic,211,1255,8,2:216
2,261,0,neoplastic,224,1705,9,2:218
2,261,2,connective_soft_tissue,187,667,25,0:175;0:189
2,261,2,connective_soft_tissue,216,864,8,0:211
2,261,2,connective_soft_tissue,218,487,9,0:224
2,273,1,inflammatory,207,465,1,2:203
2,273,2,connective_soft_tissue,203,339,1,1:207
2,291,1,inflammatory,43,279,6,4:50
2,291,4,non_neoplastic_epithelial,50,326,6,1:43
2,298,0,neoplastic,201,1459,84,4:280
2,298,4,non_neoplastic_epithelial,280,739,84,0:201
2,302,0,neoplastic,83,487,3,1:92
2,302,1,inflammatory,92,464,3,0:83
2,304,0,neoplastic,151,1142,7,1:142
2,304,1,inflammatory,142,693,7,0:151
2,314,1,inflammatory,177,399,12,2:170
2,314,2,connective_soft_tissue,170,425,12,1:177
2,397,1,inflammatory,29,329,19,2:199
2,397,2,connective_soft_tissue,199,625,19,1:29
2,400,0,neoplastic,62,594,12,2:58
2,400,2,connective_soft_tissue,58,529,12,0:62
2,419,0,neoplastic,184,2745,46,2:58
2,419,0,neoplastic,185,1114,3,2:56
2,419,1,inflammatory,60,283,5,2:61
2,419,2,connective_soft_tissue,56,839,3,0:185
2,419,2,connective_soft_tissue,58,918,46,0:184
2,419,2,connective_soft_tissue,61,375,5,1:60
2,426,0,neoplastic,100,1169,8,2:103
2,426,2,connective_soft_tissue,103,720,8,0:100
2,500,0,neoplastic,25,602,21,2:463
2,500,2,connective_soft_tissue,463,323,21,0:25
2,504,0,neoplastic,156,528,4,2:158
2,504,2,connective_soft_tissue,158,253,4,0:156
2,506,0,neoplastic,291,351,1,2:301
2,506,2,connective_soft_tissue,301,745,1,0:291
2,507,0,neoplastic,289,681,9,1:288
2,507,1,inflammatory,288,358,9,0:289
2,561,0,neoplastic,29,1158,2,2:32
2,561,2,connective_soft_tissue,32,1018,2,0:29
2,582,1,inflammatory,205,410,4,2:30
2,582,2,connective_soft_tissue,30,373,4,1:205
2,584,0,neoplastic,89,726,2,1:100
2,584,1,inflammatory,100,415,2,0:89
2,599,1,inflammatory,121,283,3,2:124
2,599,2,connective_soft_tissue,124,1466,3,1:121
2,636,1,inflammatory,76,603,1,2:78
2,636,2,connective_soft_tissue,78,463,1,1:76
2,640,1,inflammatory,246,529,7,2:250
2,640,2,connective_soft_tissue,250,424,7,1:246
2,641,1,inflammatory,254,333,9,2:255
2,641,2,connective_soft_tissue,255,445,9,1:254
2,643,1,inflammatory,260,302,4,2:269
2,643,2,connective_soft_tissue,269,284,4,1:260
2,669,1,inflammatory,453,235,9,2:409
2,669,2,connective_soft_tissue,409,387,9,1:453
2,728,1,inflammatory,556,184,3,2:520
2,728,2,connective_soft_tissue,520,610,3,1:556
2,745,1,inflammatory,152,453,5,2:153
2,745,1,inflammatory,171,458,9,2:184
2,745,1,inflammatory,230,239,4,2:228
2,745,2,connective_soft_tissue,153,162,5,1:152
2,745,2,connective_soft_tissue,184,474,9,1:171
2,745,2,connective_soft_tissue,228,232,4,1:230
2,746,1,inflammatory,41,409,9,2:64;2:65
2,746,1,inflammatory,123,247,3,2:145
2,746,2,connective_soft_tissue,64,500,7,1:41
2,746,2,connective_soft_tissue,65,437,2,1:41
2,746,2,connective_soft_tissue,145,207,3,1:123
2,747,1,inflammatory,547,382,3,2:553
2,747,2,connective_soft_tissue,553,424,3,1:547
2,762,0,neoplastic,241,281,2,2:222
2,762,2,connective_soft_tissue,222,846,2,0:241
2,770,1,inflammatory,297,203,4,2:291
2,770,2,connective_soft_tissue,291,774,4,1:297
2,774,0,neoplastic,129,1009,1,2:113
