"citation_key","title","authors","year","venue","doi_or_arxiv","primary_source","verification_status","dataset","task","annotation_error_type","evaluation_protocol","main_relevance","limitations","difference_from_this_project"
"chen2024uni","Towards a General-Purpose Foundation Model for Computational Pathology","Richard J. Chen; Tong Ding; Ming Y. Lu; Drew F. K. Williamson; Guillaume Jaume; Andrew H. Song; Bowen Chen; Andrew Zhang; Daniel Shao; Muhammad Shaban; Mane Williams; Lukas Oldenburg; Luca L. Weishaupt; Judy J. Wang; Anurag Vaidya; Long Phi Le; Georg Gerber; Sharifa Sahai; Walt Williams; Faisal Mahmood","2024","Nature Medicine 30(3), pp. 850-862","DOI 10.1038/s41591-024-02857-3","https://www.nature.com/articles/s41591-024-02857-3","Verified publisher and Crossref record","Large-scale histopathology pretraining and diverse downstream datasets","General-purpose computational-pathology representation learning","No annotation-error mechanism evaluated","Frozen/fine-tuned evaluations across diverse pathology tasks","Primary publication for UNI as a pathology encoder candidate","Gated/non-commercial access conditions and large-model cost; no direct nucleus label-audit evaluation","Potential frozen feature space only; project evaluates group-safe label-risk ranking rather than general downstream performance"
"lu2024conch","A Visual-Language Foundation Model for Computational Pathology","Ming Y. Lu; Bowen Chen; Drew F. K. Williamson; Richard J. Chen; Ivy Liang; Tong Ding; Guillaume Jaume; Igor Odintsov; Long Phi Le; Georg Gerber; Anil V. Parwani; Andrew Zhang; Faisal Mahmood","2024","Nature Medicine 30(3), pp. 863-874","DOI 10.1038/s41591-024-02856-4","https://www.nature.com/articles/s41591-024-02856-4","Verified publisher and Crossref record","Histopathology image-text and downstream pathology datasets","Vision-language pathology representation and zero/few-shot transfer","No annotation-error mechanism evaluated","Multi-task pathology evaluation with image-language representations","Current pathology feature-source landscape","Language alignment may not help pure nucleus crops; access/compute and preprocessing must be pinned","Project needs fixed nucleus embeddings and OOF audit scores, not language-driven pathology prediction"
"vorontsov2024virchow","A Foundation Model for Clinical-Grade Computational Pathology and Rare Cancers Detection","Eugene Vorontsov; Alican Bozkurt; Adam Casson; George Shaikovski; Michal Zelechowski; Kristen Severson; Eric Zimmermann; James Hall; Neil Tenenholtz; Nicolo Fusi; Ellen Yang; Philippe Mathieu; Alexander van Eck; Donghun Lee; Julian Viret; Eric Robert; Yi Kan Wang; Jeremy D. Kunz; Matthew C. H. Lee; Jan H. Bernhard; Ran A. Godrich; Gerard Oakley; Ewan Millar; Matthew Hanna; Hannah Wen; Juan A. Retamero; William A. Moye; Razik Yousfi; Christopher Kanan; David S. Klimstra; Brandon Rothrock; Siqi Liu; Thomas J. Fuchs","2024","Nature Medicine 30(10), pp. 2924-2935","DOI 10.1038/s41591-024-03141-0","https://www.nature.com/articles/s41591-024-03141-0","Verified publisher and Crossref record","1.5 million whole-slide images and multiple pathology tasks","Large-scale DINOv2 pathology foundation model evaluation","No annotation-error mechanism evaluated","Tile-level and clinical downstream benchmarking including rare cancers","Primary publication for Virchow as a current pathology representation","632M-parameter model, gated access and substantial throughput/memory cost; not a label-audit study","Only a candidate frozen feature extractor; project evaluates instance-level annotation review utility"
"zimmermann2024virchow2","Virchow2: Scaling Self-Supervised Mixed Magnification Models in Pathology","Eric Zimmermann; Eugene Vorontsov; Julian Viret; Adam Casson; Michal Zelechowski; George Shaikovski; Neil Tenenholtz; James Hall; David Klimstra; Razik Yousfi; Thomas Fuchs; Nicolo Fusi; Siqi Liu; Kristen Severson","2024","arXiv preprint","arXiv 2408.00738","https://arxiv.org/abs/2408.00738","Verified arXiv record; no separate peer-reviewed venue or venue DOI verified","3.1 million histopathology whole-slide images; 12 tile-level tasks","Mixed-magnification pathology self-supervised feature learning","No annotation-error mechanism evaluated","Compare model/data scaling and pathology-specific DINOv2 modifications on tile tasks","Current scaled pathology encoder candidate","Preprint; gated/non-commercial model access and 632M-parameter compute burden for released Virchow2","Does not audit labels; frozen comparison is contingent on legal access and 12-GB hardware feasibility"
"xu2024gigapath","A Whole-Slide Foundation Model for Digital Pathology from Real-World Data","Hanwen Xu; Naoto Usuyama; Jaspreet Bagga; Sheng Zhang; Rajesh Rao; Tristan Naumann; Cliff Wong; Zelalem Gero; Javier González; Yu Gu; Yanbo Xu; Mu Wei; Wenhui Wang; Shuming Ma; Furu Wei; Jianwei Yang; Chunyuan Li; Jianfeng Gao; Jaylen Rosemon; Tucker Bower; Soohee Lee; Roshanthi Weerasinghe; Bill J. Wright; Ari Robicsek; Brian Piening; Carlo Bifulco; Sheng Wang; Hoifung Poon","2024","Nature 630(8015), pp. 181-188","DOI 10.1038/s41586-024-07441-w","https://www.nature.com/articles/s41586-024-07441-w","Verified publisher and Crossref record","1.3 billion 256-pixel tiles from 171,189 whole-slide images and downstream tasks","Tile and whole-slide pathology foundation modelling","No annotation-error mechanism evaluated","DINOv2 tile encoder plus long-context slide encoder evaluated on multiple pathology tasks","Broad current pathology encoder landscape","Large ViT-G/14 and slide model exceed nucleus-crop needs; access/licence/preprocessing require runtime verification","Project only needs frozen nucleus-crop embeddings and does not evaluate slide-level prediction"
"wang2022ctranspath","Transformer-Based Unsupervised Contrastive Learning for Histopathological Image Classification","Xiyue Wang; Sen Yang; Jun Zhang; Minghui Wang; Jing Zhang; Wei Yang; Junzhou Huang; Xiao Han","2022","Medical Image Analysis 81, 102559","DOI 10.1016/j.media.2022.102559","https://doi.org/10.1016/j.media.2022.102559","Verified Crossref journal record","Histopathology pretraining and downstream classification datasets","Pathology-specific contrastive representation learning","No annotation-error mechanism evaluated","Transfer/linear evaluation of a Swin-based pathology encoder","Relatively practical pathology-aligned frozen encoder candidate","Weight source, preprocessing, dependency compatibility, and usage terms must be pinned; not a label-audit paper","Provides features only; project tests group-safe OOF risk rankings and restoration"
"filiot2023phikon","Scaling Self-Supervised Learning for Histopathology with Masked Image Modeling","Alexandre Filiot; Ridouane Ghermi; Antoine Olivier; Paul Jacob; Lucas Fidon; Alice Mac Kain; Charlie Saillard; Jean-Baptiste Schiratti","2023","medRxiv preprint","DOI 10.1101/2023.07.21.23292757","https://www.medrxiv.org/content/10.1101/2023.07.21.23292757v2","Verified primary preprint record; not peer reviewed","More than 40 million histopathology tiles and multiple downstream tasks","Scale masked-image-modelled pathology representation learning","No annotation-error mechanism evaluated","Evaluate ViT-B/iBOT features across pathology tasks","Hardware-plausible pathology frozen encoder candidate","Preprint; exact model release, preprocessing, and current terms must be pinned","Potential feature extractor only; no inconsistent-label ranking or restoration"
"filiot2024phikonv2","Phikon-v2, A Large and Public Feature Extractor for Biomarker Prediction","Alexandre Filiot; Paul Jacob; Alice Mac Kain; Charlie Saillard","2024","arXiv preprint","arXiv 2409.09173","https://arxiv.org/abs/2409.09173","Verified arXiv record; no separate peer-reviewed venue or venue DOI verified","PANCAN-XL, approximately 460 million tiles from more than 60,000 whole-slide images; external biomarker tasks","Scaled DINOv2 pathology feature extraction for biomarker prediction","No annotation-error mechanism evaluated","Eight slide-level tasks with external cohorts and comparisons to 14 feature extractors","Current publicly documented ViT-L pathology feature candidate","Preprint; non-commercial model terms; slide-biomarker ranking may not predict nucleus-audit utility","Project requires nucleus-level group-safe OOF auditing and empirical representation comparison"
"kang2023pathologyssl","Benchmarking Self-Supervised Learning on Diverse Pathology Datasets","Mingu Kang; Heon Song; Seonwook Park; Donggeun Yoo; Sérgio Pereira","2023","IEEE/CVF CVPR 2023, pp. 3344-3354","DOI 10.1109/CVPR52729.2023.00326; arXiv 2212.04690","https://openaccess.thecvf.com/content/CVPR2023/html/Kang_Benchmarking_Self-Supervised_Learning_on_Diverse_Pathology_Datasets_CVPR_2023_paper.html","Verified official CVF and Crossref records","Multiple pathology datasets including CoNSeP downstream nucleus instance segmentation","Benchmark MoCo v2, SwAV, Barlow Twins, DINO, and pathology pretraining","No annotation-error mechanism evaluated","Frozen/fine-tuned comparisons on diverse pathology tasks","Evidence that domain-aligned SSL can help and model ordering is task-dependent","Not PanNuke label auditing; downstream performance is not audit-ranking performance","Representation prior art only; project tests OOF annotation risk and equal-budget restoration"
"oquab2024dinov2","DINOv2: Learning Robust Visual Features without Supervision","Maxime Oquab; Timothée Darcet; Théo Moutakanni; Huy Vo; Marc Szafraniec; Vasil Khalidov; Pierre Fernandez; Daniel Haziza; Francisco Massa; Alaaeldin El-Nouby; Mahmoud Assran; Nicolas Ballas; Wojciech Galuba; Russell Howes; Po-Yao Huang; Shang-Wen Li; Ishan Misra; Michael Rabbat; Vasu Sharma; Gabriel Synnaeve; Hu Xu; Hervé Jégou; Julien Mairal; Patrick Labatut; Armand Joulin; Piotr Bojanowski","2024","Transactions on Machine Learning Research","arXiv 2304.07193; no venue DOI verified","https://arxiv.org/abs/2304.07193","Verified arXiv authors/version and TMLR acceptance; no venue DOI verified","Large curated natural-image pretraining corpus and broad visual benchmarks","General-purpose self-supervised visual representation learning","No annotation-error mechanism evaluated","Frozen and transfer evaluation across image- and pixel-level tasks","Ungated general SSL comparator with multiple model sizes","Natural-image rather than histopathology pretraining; broad representation quality may not predict nucleus-audit ranking","Feature comparator only; project enforces source-group OOF and pathology-specific review metrics"
"horst2024cellvit","CellViT: Vision Transformers for Precise Cell Segmentation and Classification","Fabian Hörst; Moritz Rempe; Lukas Heine; Constantin Seibold; Julius Keyl; Giulia Baldini; Selma Ugurel; Jens Siveke; Barbara Grünwald; Jan Egger; Jens Kleesiek","2024","Medical Image Analysis 94, 103143","DOI 10.1016/j.media.2024.103143; arXiv 2306.15350","https://pubmed.ncbi.nlm.nih.gov/38507894/","Verified PubMed and Crossref journal record","PanNuke and other cell datasets","Cell segmentation and classification with pretrained vision transformers","Does not frame annotation-error detection","End-to-end CellViT comparisons for precise cell segmentation/classification","Direct nucleus-task architecture and target-delineation context","Segmenter/classifier rather than fixed label-audit representation; training from scratch is out of scope","Project assumes existing instance masks and audits class labels rather than developing a segmentation architecture"
"campanella2025clinicalbenchmark","A Clinical Benchmark of Public Self-Supervised Pathology Foundation Models","Gabriele Campanella; Shengjia Chen; Manbir Singh; Ruchika Verma; Silke Muehlstedt; Jennifer Zeng; Aryeh Stock; Matt Croken; Brandon Veremis; Abdulkadir Elmas; Ivan Shujski; Noora Neittaanmäki; Kuan-lin Huang; Ricky Kwan; Jane Houldsworth; Adam J. Schoenfeld; Chad Vanderbilt","2025","Nature Communications 16(1), article 3640","DOI 10.1038/s41467-025-58796-1","https://www.nature.com/articles/s41467-025-58796-1","Verified publisher and Crossref record","Multiple clinical pathology datasets/tasks","Independent benchmark of public self-supervised pathology foundation models","No annotation-error mechanism evaluated","Compare frozen/public pathology encoders, clinical tasks, and accuracy-throughput trade-offs","Current independent landscape evidence; warns against assuming one universal best encoder","Clinical/slide tasks differ from nucleus audit ranking and may have pretraining-overlap/access constraints","Informs feasibility and comparison design but does not answer H6 for PanNuke auditing"
